step,variant,candidate_tag,node,relationship,patterns,auc,delta_auc,delta_reference,status,run_id,evolution_prompt
1,0,step_1_candidate_0,EconomicIndicator,REFERENCES,"[[""Article"", ""MENTIONS"", ""EconomicIndicator""]]",0.597254004576659,0.07551487414187641,baseline_article_embedding,rejected,fe10350f1eb54fef84a9ca753174ad31,default
1,1,step_1_candidate_1,EarningsReport,HAS_EARNINGS,"[[""Company"", ""HAS_EARNINGS"", ""EarningsReport""]]",0.7871853546910755,0.26544622425629294,baseline_article_embedding,accepted,fe10350f1eb54fef84a9ca753174ad31,default
2,0,step_2_candidate_0,RegulatoryBody,MENTIONS_REGULATORY,"[[""Article"", ""MENTIONS_REGULATORY"", ""RegulatoryBody""]]",0.5995423340961099,-0.18764302059496563,last_accepted_winner,rejected,fe10350f1eb54fef84a9ca753174ad31,default
2,1,step_2_candidate_1,CreditRating,HAS_CREDIT_RATING,"[[""Company"", ""HAS_CREDIT_RATING"", ""CreditRating""]]",0.6864988558352403,-0.10068649885583525,last_accepted_winner,rejected,fe10350f1eb54fef84a9ca753174ad31,default
3,0,step_3_candidate_0,RegulatoryAnnouncement,HAS_REGULATORY_ANNOUNCEMENT,"[[""Company"", ""HAS_REGULATORY_ANNOUNCEMENT"", ""RegulatoryAnnouncement""]]",0.6018306636155607,-0.18535469107551483,last_accepted_winner,rejected,fe10350f1eb54fef84a9ca753174ad31,default
3,1,step_3_candidate_1,Dividend,HAS_DIVIDEND,"[[""Company"", ""HAS_DIVIDEND"", ""Dividend""]]",0.643020594965675,-0.14416475972540055,last_accepted_winner,rejected,fe10350f1eb54fef84a9ca753174ad31,default
1,0,step_1_candidate_0,EconomicIndicator,REFERENCES,"[[""Article"", ""MENTIONS"", ""EconomicIndicator""]]",0.3707093821510298,-0.2791762013729976,baseline_article_embedding,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
1,1,step_1_candidate_1,RegulatoryBody,MENTIONS_REGULATORY_BODY,"[[""Article"", ""MENTIONS_REGULATORY_BODY"", ""RegulatoryBody""]]",0.702517162471396,0.052631578947368585,baseline_article_embedding,accepted,798cdc6344ef4cadb84c6f9df09e6148,event_driven
2,0,step_2_candidate_0,CreditRating,HAS_CREDIT_RATING,"[[""Company"", ""HAS_CREDIT_RATING"", ""CreditRating""]]",0.631578947368421,-0.07093821510297493,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
2,1,step_2_candidate_1,GeographicRegion,LOCATED_IN,"[[""Company"", ""LOCATED_IN"", ""GeographicRegion""]]",0.47597254004576656,-0.2265446224256294,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
3,0,step_3_candidate_0,Industry,OPERATES_IN,"[[""Company"", ""OPERATES_IN"", ""Industry""]]",0.2723112128146453,-0.43020594965675063,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
3,1,step_3_candidate_1,CorporateAction,TRIGGERS,"[[""Article"", ""TRIGGERS"", ""CorporateAction""], [""Company"", ""TRIGGERS"", ""CorporateAction""]]",0.22196796338672767,-0.4805491990846683,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
4,0,step_4_candidate_0,MarketEvent,TRIGGERS,"[[""Article"", ""TRIGGERS"", ""MarketEvent""], [""MarketEvent"", ""TRIGGERS"", ""Company""]]",0.30205949656750575,-0.4004576659038902,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
4,1,step_4_candidate_1,EarningsReport,HAS_EARNINGS_REPORT,"[[""Company"", ""HAS_EARNINGS_REPORT"", ""EarningsReport""]]",0.5514874141876429,-0.15102974828375304,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
5,0,step_5_candidate_0,Product,MENTIONS_PRODUCT,"[[""Article"", ""MENTIONS_PRODUCT"", ""Product""]]",0.7437070938215102,0.041189931350114284,last_accepted_winner,accepted,798cdc6344ef4cadb84c6f9df09e6148,event_driven
5,1,step_5_candidate_1,LegalAction,INVOLVES_LEGAL_ACTION,"[[""Article"", ""INVOLVES_LEGAL_ACTION"", ""LegalAction""]]",0.6910755148741419,-0.011441647597254079,last_accepted_winner,rejected,798cdc6344ef4cadb84c6f9df09e6148,event_driven
1,0,step_1_candidate_0,EconomicIndicator,REFERENCES,"[[""Article"", ""MENTIONS"", ""EconomicIndicator""]]",0.5377574370709383,0.016018306636155666,baseline_article_embedding,rejected,47542f41c56a41139c2b1100bda8d3b9,event_driven
1,1,step_1_candidate_1,RegulatoryBody,MENTIONS_REGULATORY_BODY,"[[""Article"", ""MENTIONS_REGULATORY_BODY"", ""RegulatoryBody""]]",0.5697940503432495,0.04805491990846689,baseline_article_embedding,accepted,47542f41c56a41139c2b1100bda8d3b9,event_driven
